Japan,
Lat,Lon
34.704118,134.299382
34.715273,134.250272
34.703882,134.2421
34.689154,134.249391
34.624709,134.189418
34.590273,134.137209
34.581109,134.119263
34.575554,134.099118
34.5826,134.073254
34.592491,134.059418
34.599436,134.049409
34.605827,134.033445
34.606245,133.993991
34.583327,133.932463
34.573464,133.926772
34.560127,133.9272
34.550173,133.937227
34.556654,133.950809
34.566664,133.957736
34.578882,133.970245
34.584436,133.980254
34.589427,134.004154
34.592218,134.022763
34.584718,134.042072
34.547173,134.023936
34.450818,133.936845
34.445545,133.918163
34.448327,133.899136
34.463882,133.826354
34.490273,133.769436
34.520827,133.7222
34.521664,133.703036
34.516664,133.679136
34.512773,133.668027
34.421664,133.476072
34.345545,133.342472
34.343745,133.300127
34.353882,133.313718
34.364991,133.315945
34.420554,133.267209
34.423191,133.251918
34.416382,133.240663
34.404164,133.234682
34.351491,133.216963
34.318827,133.209791
34.277491,133.190318
34.249782,133.071154
34.301109,133.065245
34.324164,133.046354
34.315545,132.901918
34.307909,132.820118
34.303045,132.809691
34.270827,132.780272
34.254718,132.768582
34.241173,132.7749
34.231654,132.764982
34.207073,132.690518
34.198182,132.654282
34.195264,132.632172
34.189427,132.570527
34.191936,132.550463
34.293191,132.500409
34.322491,132.503872
34.364582,132.408718
34.364436,132.398591
34.3593,132.370654
34.353464,132.353991
34.344154,132.336363
34.334164,132.322482
34.236382,132.224945
34.191909,132.232572
34.176382,132.237454
34.1611,132.241054
34.148882,132.239682
33.990545,132.213291
33.964909,132.197018
33.950745,132.179245
33.941473,132.129527
33.9085,132.132372
33.856991,132.153745
33.834854,132.154554
33.826382,132.143309
33.777209,132.060791
33.772491,132.050536
33.7711,132.037754
33.805827,132.068572
33.895273,132.048582
33.997491,131.836636
34.016518,131.824127
34.043327,131.7872
34.0536,131.745791
34.029718,131.604672
33.976382,131.396091
33.951664,131.334963
33.946654,131.3244
33.918473,131.258318
33.932218,131.172609
33.942491,131.1647
33.953609,131.163882
33.980273,131.148036
34.011382,131.108582
34.020827,131.092191
34.033882,131.059963
34.039582,131.0304
34.007354,130.997727
33.9886,130.990918
33.9761,130.980254
33.916664,130.916918
33.913736,130.905118
33.921664,130.893309
33.934436,130.884427
34.125264,130.886936
34.133609,130.894991
34.166382,130.923736
34.181382,130.927763
34.191373,130.924682
34.225264,130.9122
34.233882,130.9061
34.260273,130.884
34.293054,130.879672
34.4011,130.936372
34.413882,130.944691
34.425273,130.964963
34.4286,130.976627
34.417209,131.165527
34.398327,131.211909
34.370336,131.2101
34.376936,131.262754
34.388882,131.316654
34.422082,131.4061
34.451664,131.413609
34.603327,131.554691
34.641936,131.591063
34.6536,131.603854
34.655818,131.623018
34.662209,131.680209
34.674164,131.744418
34.681936,131.780545
34.689709,131.816372
34.6961,131.832736
34.702773,131.845382
34.868045,132.051909
34.903045,132.076918
34.9261,132.098845
34.95,132.1308
35.0075,132.215791
35.0211,132.247745
35.031936,132.288882
35.036109,132.299991
35.051654,132.316654
35.1,132.359682
35.150545,132.398318
35.161373,132.404691
35.172082,132.4147
35.247491,132.547209
35.261109,132.579409
35.267491,132.595791
35.271936,132.613282
35.279991,132.629391
35.286382,132.638882
35.298609,132.651918
35.3086,132.658872
35.320273,132.664982
35.346382,132.674682
35.369018,132.681363
35.381664,132.678318
35.388045,132.666927
35.398882,132.641663
35.407773,132.629954
35.421109,132.633654
35.440545,132.681091
35.488882,132.829682
35.494991,132.853027
35.496382,132.866054
35.496654,132.886654
35.495545,132.929136
35.494164,132.961209
35.550273,133.054691
35.564991,133.0697
35.5825,133.091063
35.582218,133.101627
35.5286,133.248563
35.514709,133.249009
35.502773,133.253872
35.483609,133.267491
35.474991,133.279418
35.456382,133.313872
35.451664,133.328309
35.447773,133.3447
35.445545,133.359954
35.444991,133.381072
35.445264,133.401645
35.447209,133.417618
35.457773,133.434691
35.469982,133.447209
35.477209,133.456082
35.486936,133.470245
35.492491,133.480254
35.505827,133.519991
35.511664,133.543582
35.515273,133.561918
35.516664,133.574672
35.516245,133.599272
35.513609,133.618291
35.509436,133.634709
35.504718,133.649136
35.492764,133.6983
35.487209,133.736636
35.485827,133.751372
35.484991,133.779418
35.485545,133.8136
35.509991,134.084691
35.513882,134.116636
35.539018,134.260054
35.548882,134.272491
35.563609,134.283327
35.576382,134.302463
35.589427,134.334963
35.595273,134.358854
35.597545,134.368654
35.6075,134.391936
35.645964,134.514845
35.647491,134.537754
35.652773,134.772218
35.6511,134.794127
35.646382,134.813018
35.638045,134.826082
35.633473,134.897063
35.635127,134.916518
35.682209,135.034145
35.694154,135.054136
35.703609,135.0683
35.729154,135.086091
35.752491,135.168027
35.758045,135.191654
35.761382,135.210236
35.762218,135.2222
35.724709,135.278045
35.716382,135.2847
35.683736,135.306363
35.6686,135.303318
35.659645,135.289691
35.658327,135.274136
35.649436,135.266082
35.575554,135.205536
35.565827,135.198027
35.554164,135.191927
35.538464,135.187745
35.525409,135.193436
35.471927,135.339963
35.466382,135.387209
35.4779,135.401582
35.499227,135.391645
35.494154,135.376345
35.501864,135.354536
35.524709,135.345791
35.538745,135.3465
35.546936,135.353991
35.586109,135.448582
35.588045,135.461091
35.5394,135.476291
35.521518,135.475372
35.489018,135.510954
35.486382,135.521636
35.476654,135.627445
35.476382,135.713591
35.479427,135.725527
35.483882,135.736354
35.521664,135.822209
35.528882,135.831082
35.648745,135.968018
35.702909,135.963718
35.716664,135.971345
35.740964,136.014709
35.738045,136.029554
35.711936,136.043582
35.695127,136.049991
35.679018,136.043027
35.668464,136.037282
35.649154,136.062045
35.648609,136.072754
35.660545,136.081363
35.7461,136.098572
35.762773,136.098572
35.782209,136.091918
35.796109,136.085782
35.804991,136.080263
35.825,136.061918
35.833054,136.054136
35.851936,136.031918
35.858327,136.020809
35.870482,136.006791
35.959709,135.960527
35.9761,135.961072
36.119154,136.0697
36.195545,136.1283
36.241664,136.181918
36.269709,136.243136
36.353327,136.358582
36.397218,136.406918
36.513054,136.518582
36.5261,136.5311
36.5825,136.584963
36.613882,136.613282
36.655818,136.649136
36.665545,136.656372
36.7236,136.695527
36.751391,136.712463
36.769718,136.721618
36.831382,136.751645
36.8575,136.761382
36.882764,136.768863
36.965273,136.767763
36.9811,136.766082
37.092491,136.729945
37.133809,136.683291
37.147218,136.679963
37.1761,136.682463
37.195545,136.689418
37.324854,136.737745
37.339709,136.752472
37.353054,136.771909
37.362209,136.786927
37.382491,136.844118
37.388882,136.867736
37.389718,136.881072
37.387218,136.910518
37.389718,136.922763
37.423327,137.027191
37.443318,137.077182
37.4511,137.086091
37.459164,137.094972
37.466936,137.103854
37.477482,137.125791
37.483327,137.142763
37.516936,137.248563
37.520827,137.266936
37.521936,137.280272
37.520827,137.294709
37.518327,137.324127
37.513191,137.343291
37.504718,137.356354
37.494991,137.359682
37.439436,137.359954
37.429854,137.352736
37.360545,137.248836
37.286382,137.145536
37.201936,137.0708
37.180827,137.034836
37.178191,137.022763
37.179027,137.008318
37.197145,136.956418
37.197209,136.921354
37.131382,136.875791
37.099436,136.865236
37.087773,136.863282
37.0677,136.869718
37.040827,136.982745
37.048391,137.003863
37.061664,137.014436
37.056654,137.044436
36.991518,137.053863
36.958591,137.053009
36.877773,137.0108
36.854854,136.990372
36.837209,136.997745
36.829164,137.005554
36.781664,137.072482
36.771664,137.092745
36.748173,137.178009
36.744573,137.196918
36.746382,137.302463
36.748327,137.314972
36.755,137.331636
36.763327,137.346927
36.789718,137.385527
36.799991,137.396382
36.814709,137.404418
36.857218,137.420809
36.8736,137.420809
36.8875,137.421082
36.912282,137.429409
36.925691,137.443436
36.934718,137.461909
36.939154,137.473018
36.942491,137.484409
36.955827,137.545254
36.963327,137.582454
36.969273,137.616582
36.972209,137.625791
37.015545,137.764982
37.027491,137.805818
37.032491,137.830263
37.053318,137.899991
37.056936,137.911654
37.066936,137.939972
37.074436,137.956082
37.107773,138.024691
37.160545,138.209963
37.172491,138.243836
37.184154,138.271091
37.203327,138.300809
37.398609,138.580536
37.563882,138.7294
37.580273,138.740236
37.591664,138.747191
37.610273,138.756382
37.636654,138.768036
37.649991,138.773591
37.674436,138.780818
37.686654,138.784427
37.699873,138.787018
37.715827,138.788882
37.727764,138.791354
37.746936,138.798854
37.775273,138.816072
37.7925,138.826627
37.806936,138.838563
37.822491,138.856627
37.837209,138.875518
37.858891,138.903872
37.870409,138.921082
37.895545,138.971618
37.900545,138.982182
37.917773,139.027191
37.921109,139.039154
37.935264,139.083036
37.949154,139.123836
37.953327,139.134982
37.993882,139.235782
38.0061,139.2561
38.018882,139.276091
38.036664,139.299991
38.047491,139.314418
38.068882,139.342745
38.088327,139.365782
38.154573,139.426227
38.218882,139.446627
38.279991,139.449982
38.296664,139.450809
38.318327,139.450527
38.334991,139.451354
38.352218,139.453582
38.381382,139.462191
38.4061,139.472472
38.438882,139.487454
38.5825,139.570254
38.651382,139.612182
38.673391,139.628627
38.6818,139.646227
38.722491,139.701909
38.761382,139.741636
38.774991,139.7547
38.791109,139.765809
38.843318,139.789982
39.027773,139.860509
39.159709,139.904145
39.295827,139.9744
39.310273,139.986909
39.321382,139.994109
39.352773,140.011654
39.3786,140.022763
39.409427,140.0336
39.446654,140.046354
39.465,140.052182
39.522764,140.062191
39.585545,140.0708
39.602773,140.070254
39.687764,140.064418
39.698327,140.0636
39.708882,140.062745
39.719154,140.060791
39.734164,140.057463
39.779164,140.047209
39.793882,140.042482
39.803045,140.0383
39.825273,140.024691
39.841936,140.010527
39.853609,139.997745
39.868045,139.977445
39.8786,139.961363
39.884991,139.948854
39.889718,139.931918
39.893045,139.9122
39.891664,139.895263
39.885273,139.871063
39.874154,139.862882
39.864154,139.860654
39.855409,139.822891
39.858045,139.753327
39.908882,139.713863
39.917773,139.708309
39.929436,139.703154
39.979018,139.696209
39.990127,139.698591
39.992627,139.709827
39.981791,139.721482
39.974164,139.741636
39.957773,139.8076
39.959436,139.829954
39.961664,139.842745
39.965827,139.854127
39.983609,139.8858
39.991382,139.895263
40.004718,139.908327
40.020827,139.919709
40.056382,139.940518
40.106945,139.966372
40.192764,140.008327
40.230818,140.020536
40.276382,140.026645
40.287218,140.026918
40.318882,140.024691
40.335818,140.018736
40.346936,140.011936
40.4286,139.938509
40.474709,139.944972
40.491382,139.946072
40.507218,139.944972
40.536382,139.935518
40.551664,139.925245
40.565827,139.904418
40.575691,139.865509
40.587773,139.853836
40.598191,139.852327
40.730545,139.999118
40.738045,140.008882
40.749164,140.032272
40.751382,140.054136
40.748882,140.066654
40.739154,140.085236
40.732073,140.103145
40.731936,140.113863
40.737209,140.133027
40.743327,140.150545
40.771664,140.218845
40.776654,140.229945
40.785554,140.246063
40.797218,140.260254
40.806654,140.268863
40.817773,140.276363
40.830827,140.282472
40.843045,140.286372
40.902218,140.304409
41.037773,140.339963
41.094436,140.316654
41.134718,140.3208
41.2093,140.328718
41.237791,140.337154
41.247073,140.345518
41.247491,140.356082
41.224782,140.403363
41.214154,140.415254
41.2061,140.423036
41.190273,140.439972
41.182627,140.456772
41.181664,140.478991
41.187209,140.493563
41.200127,140.510545
41.211664,140.525127
41.219991,140.548718
41.2211,140.566072
41.213045,140.594409
41.181382,140.639282
41.167073,140.648318
41.154164,140.649718
41.136109,140.644991
41.123318,140.638582
41.105,140.632445
41.088327,140.631072
41.072491,140.632172
40.940545,140.657472
40.925554,140.6608
40.891382,140.671627
40.868882,140.683872
40.851936,140.697209
40.839718,140.708591
40.830827,140.721909
40.820691,140.753727
40.820827,140.778591
40.824164,140.797763
40.830273,140.815518
40.836936,140.825809
40.844709,140.835236
40.854164,140.843845
40.890545,140.871609
40.901927,140.873291
40.911664,140.870236
40.944991,140.857454
40.983882,140.873154
40.991518,140.882736
40.980964,140.932063
40.9711,140.949963
40.956654,140.963009
40.932773,140.987454
40.925554,140.997463
40.874709,141.084963
40.860545,141.116054
40.856945,141.134827
40.862209,141.149409
40.869154,141.159427
40.876654,141.169127
40.888882,141.1797
40.915827,141.195527
40.934436,141.205809
40.9786,141.228027
40.9911,141.233036
41.009436,141.239409
41.146936,141.278736
41.169154,141.273318
41.192764,141.261382
41.205554,141.2522
41.214154,141.245509
41.229991,141.228854
41.251936,141.198582
41.260273,141.183445
41.2625,141.161518
41.241654,141.1447
41.236518,141.156509
41.205964,141.122236
41.177218,141.062745
41.174573,141.046509
41.175964,141.031218
41.1861,141.000945
41.182209,140.971072
41.157491,140.886109
41.134718,140.835509
41.125827,140.819427
41.122627,140.802609
41.123318,140.791654
41.130545,140.781372
41.1386,140.773591
41.152491,140.766663
41.169854,140.762618
41.400545,140.838582
41.525545,140.911236
41.529573,140.923018
41.470545,141.087463
41.460818,141.106082
41.442491,141.131618
41.424164,141.151918
41.412491,141.1647
41.403882,141.171354
41.395,141.176636
41.381936,141.1861
41.3736,141.1947
41.362209,141.208591
41.354436,141.224818
41.345545,141.254427
41.342491,141.270809
41.339718,141.300809
41.340273,141.314972
41.341936,141.335509
41.345827,141.355227
41.351936,141.373018
41.362773,141.395263
41.373882,141.417754
41.343882,141.455809
41.204164,141.418854
41.1911,141.4122
41.1768,141.403027
41.1586,141.396791
41.144718,141.395536
40.926382,141.399991
40.879718,141.401918
40.859991,141.403872
40.745273,141.4158
40.729991,141.418027
40.715,141.421082
40.690545,141.428591
40.593882,141.460509
40.579718,141.466063
40.570545,141.471345
40.561664,141.476627
40.552773,141.4819
40.531664,141.571209
40.530273,141.582736
40.4875,141.632718
40.478873,141.639163
40.465545,141.647218
40.4586,141.658327
40.447909,141.674563
40.436936,141.689145
40.428882,141.696927
40.4161,141.707182
40.267209,141.820254
40.225264,141.841336
40.157491,141.862454
40.118045,141.8544
40.110545,141.8447
40.100273,141.836636
40.088327,141.833591
40.077773,141.834136
40.063327,141.840518
40.055264,141.848018
40.018327,141.897763
39.997491,141.940518
39.989436,141.948727
39.962773,141.957182
39.788327,141.988554
39.652773,141.978854
39.606654,142.0311
39.555545,142.064418
39.546664,142.0697
39.465827,142.0547
39.414573,142.033872
39.414154,142.014163
39.416382,141.986618
39.380964,141.9433
39.329991,141.906372
39.266109,141.898591
39.248327,141.899018
39.153882,141.889982
39.117491,141.884709
39.063045,141.867191
39.019854,141.848163
39.018882,141.748563
38.994854,141.636109
38.985127,141.629809
38.969482,141.633636
38.922491,141.643582
38.884991,141.642491
38.887218,141.632172
38.885682,141.592527
38.8736,141.580536
38.780545,141.533054
38.681382,141.515254
38.620273,141.5311
38.513609,141.546936
38.386109,141.546627
38.298882,141.537472
38.263464,141.519427
38.300691,141.458709
38.331936,141.4361
38.361664,141.438854
38.380964,141.423036
38.398327,141.357727
38.399718,141.343291
38.402209,141.307463
38.401654,141.293854
38.395827,141.2561
38.364436,141.095791
38.359718,141.081218
38.338045,141.055818
38.317773,141.044127
38.148045,140.953582
38.105273,140.939972
38.033609,140.923036
38.005273,140.918854
37.983045,140.917754
37.972209,140.917482
37.937354,140.918163
37.919154,140.920536
37.895273,140.926091
37.784436,140.958309
37.770545,140.979945
37.7561,140.999391
37.739718,141.014436
37.730818,141.019436
37.720827,141.022491
37.578609,141.033054
37.456382,141.038882
37.374991,141.039154
37.358045,141.036654
37.183054,141.003872
36.984718,140.974545
36.9686,140.967472
36.959164,140.958309
36.933464,140.924009
36.919445,140.872745
36.901791,140.8244
36.886109,140.809691
36.866936,140.797609
36.848045,140.797482
36.846064,140.798582
36.813045,140.767491
36.790554,140.753054
36.779164,140.746063
36.530545,140.636654
36.421664,140.605809
36.262218,140.567745
36.247491,140.565518
36.210545,140.567745
36.189709,140.570254
36.179436,140.572209
36.109718,140.588863
36.0968,140.592327
36.080827,140.600527
36.044718,140.621891
36.031664,140.630527
35.819445,140.777463
35.743327,140.837191
35.694991,140.824127
35.673882,140.675263
35.670545,140.663609
35.662491,140.641663
35.654436,140.626063
35.627209,140.588009
35.613609,140.569118
35.5961,140.545536
35.588718,140.537109
35.536382,140.479127
35.527773,140.470518
35.503882,140.450809
35.481373,140.436918
35.428882,140.413027
35.409709,140.405545
35.385273,140.398036
35.373882,140.396363
35.362773,140.396091
35.347209,140.398318
35.3325,140.402463
35.312209,140.413454
35.294718,140.417209
35.233882,140.416382
35.222491,140.4147
35.203327,140.4072
35.1836,140.398318
35.173327,140.390809
35.129854,140.332182
35.100273,140.235227
35.097209,140.223018
35.086382,140.121891
35.015273,140.0022
35.008327,139.993009
34.972,139.972045
34.925136,139.965945
34.910827,139.954682
34.904709,139.941654
34.895,139.907472
34.891382,139.889436
34.889991,139.863591
34.895,139.838163
34.951382,139.772063
34.963118,139.771654
34.967491,139.795536
34.968045,139.808591
34.971654,139.826354
34.984164,139.859127
34.996536,139.867191
35.009436,139.864682
35.063882,139.845518
35.154164,139.8244
35.164709,139.823582
35.278882,139.848845
35.374991,139.920536
35.430273,139.9697
35.486654,140.042482
35.536382,140.104127
35.552354,140.113145
35.566936,140.1087
35.615273,140.075254
35.627209,140.064145
35.643327,140.041645
35.658045,139.995791
35.660818,139.968563
35.656654,139.937472
35.633327,139.777191
35.621164,139.768663
35.606564,139.766418
35.589991,139.767209
35.564436,139.771363
35.511645,139.784482
35.501945,139.778045
35.489154,139.758609
35.478045,139.7269
35.472491,139.703309
35.470273,139.677763
35.457491,139.646091
35.384991,139.634709
35.2975,139.649845
35.281382,139.6572
35.263327,139.687472
35.258745,139.707182
35.257773,139.724972
35.251727,139.745027
35.137218,139.678727
35.129991,139.659427
35.125827,139.641354
35.125827,139.624545
35.132218,139.614272
35.159709,139.621891
35.179854,139.623427
35.216664,139.612454
35.225818,139.608309
35.278464,139.567891
35.285554,139.557891
35.304164,139.4494
35.305264,139.435245
35.303882,139.402772
35.3,139.344972
35.298045,139.325809
35.289436,139.283872
35.271936,139.237454
35.2625,139.216063
35.249164,139.190245
35.238045,139.173309
35.221927,139.159427
35.198045,139.146363
35.184991,139.140809
35.111118,139.112827
35.096936,139.099972
35.084718,139.093563
35.057209,139.088291
34.990545,139.091063
34.981654,139.096345
34.967627,139.109272
34.961109,139.128982
34.940964,139.147336
34.920691,139.151227
34.8875,139.143036
34.874709,139.138582
34.771382,139.068027
34.761109,139.060791
34.666382,138.981627
34.619154,138.911927
34.606654,138.8858
34.593182,138.850391
34.594854,138.829563
34.604164,138.807463
34.680827,138.746
34.714991,138.748582
34.729154,138.763609
34.761936,138.765809
34.822218,138.766391
34.8811,138.765254
34.954645,138.7679
34.976382,138.773591
34.998045,138.782763
35.005827,138.799709
35.009991,138.823854
35.002491,138.844118
35.008891,138.893863
35.034782,138.905945
35.080554,138.846072
35.086936,138.834409
35.096382,138.816654
35.118327,138.761109
35.123464,138.741209
35.125264,138.7233
35.124436,138.710509
35.121936,138.6983
35.095827,138.576627
35.089709,138.566909
34.858045,138.332454
34.7011,138.2244
34.6661,138.205227
34.6536,138.199127
34.6311,138.197754
34.6161,138.201354
34.607218,138.206636
34.599164,138.214145
34.597491,138.1658
34.638045,138.037472
34.652209,137.982454
34.6536,137.961363
34.651382,137.929136
34.637218,137.864136
34.635027,137.845672
34.633609,137.8197
34.633882,137.799409
34.654991,137.636109
34.668882,137.591336
34.661936,137.528591
34.648045,137.4086
34.640273,137.346345
34.637218,137.328036
34.628873,137.298854
34.610545,137.243009
34.588327,137.176091
34.575827,137.143309
34.571936,137.125518
34.567836,137.028791
34.578327,137.023863
34.632209,137.061372
34.639991,137.069972
34.640827,137.086209
34.645545,137.141936
34.653882,137.183591
34.708045,137.342054
34.718745,137.3483
34.762218,137.327754
34.770545,137.321345
34.789164,137.299409
34.796391,137.2897
34.801936,137.276918
34.797909,137.214145
34.768054,137.153872
34.755273,137.090927
34.756664,137.043582
34.7593,137.026782
34.7686,137.016391
34.781109,137.0061
34.806936,136.988863
34.831382,136.980527
34.859127,136.981018
34.873382,136.983518
34.908182,136.986072
34.919018,136.977891
34.891827,136.958527
34.857318,136.937682
34.828045,136.924682
34.783191,136.916654
34.772636,136.917754
34.761382,136.923854
34.733609,136.950254
34.725264,136.956636
34.7075,136.967472
34.685409,136.973845
34.682636,136.963436
34.690273,136.932327
34.694709,136.923036
34.720273,136.877745
34.730818,136.863282
34.738327,136.854672
34.746654,136.847472
34.886654,136.824672
34.902491,136.823027
34.913882,136.823854
34.929018,136.826763
34.944991,136.831909
34.956382,136.838291
34.970273,136.849972
34.979573,136.860927
35.003254,136.885254
35.031109,136.901363
35.045409,136.902191
35.079373,136.893036
35.079027,136.849836
35.064436,136.821345
35.020891,136.744754
35.017773,136.735509
35.003054,136.697482
34.986936,136.666654
34.979991,136.657745
34.969436,136.650818
34.946373,136.642063
34.933736,136.648509
34.914364,136.655109
34.870409,136.645809
34.854164,136.639709
34.825827,136.616054
34.812354,136.6008
34.799718,136.584963
34.787773,136.572209
34.765827,136.551909
34.746382,136.5372
34.734991,136.530818
34.696936,136.519991
34.676654,136.521091
34.601273,136.535736
34.588745,136.572054
34.590545,136.587736
34.591936,136.607182
34.588318,136.626218
34.581109,136.641936
34.543327,136.6947
34.499164,136.768191
34.4961,136.793582
34.490827,136.827609
34.476382,136.858
34.469436,136.867736
34.433609,136.915682
34.405545,136.921627
34.266518,136.897691
34.244154,136.852754
34.241245,136.837872
34.242218,136.827182
34.251391,136.788027
34.262773,136.7715
34.269991,136.779418
34.294445,136.764982
34.298336,136.668854
34.259436,136.589691
34.221373,136.480527
34.191864,136.371827
34.1961,136.353572
34.189709,136.343845
34.160273,136.303318
34.1427,136.292463
34.028327,136.264982
33.981654,136.277772
33.969154,136.274691
33.961936,136.265809
33.936654,136.2294
33.919991,136.203309
33.913609,136.175263
33.902773,136.149991
33.884582,136.118991
33.863054,136.095791
33.85,136.083591
33.835264,136.072754
33.818054,136.0636
33.794154,136.054136
33.774991,136.048582
33.755,136.041072
33.717764,136.023863
33.708045,136.016663
33.685027,135.996063
33.664154,135.983854
33.576664,135.951354
33.563327,135.938291
33.5375,135.909145
33.523882,135.890809
33.454991,135.772218
33.496518,135.589809
33.513327,135.531918
33.539991,135.457736
33.573609,135.4072
33.581382,135.399718
33.6568,135.336209
33.682073,135.348845
33.676518,135.365936
33.679164,135.381072
33.701518,135.398527
33.719436,135.378572
33.751391,135.320254
33.766109,135.279972
33.808045,135.1947
33.875545,135.064682
33.888327,135.061918
33.968318,135.085509
34.056654,135.129118
34.140409,135.195954
34.215273,135.134709
34.239154,135.112727
34.249436,135.098018
34.317218,135.132445
34.319991,135.144991
34.35,135.227172
34.390827,135.295809
34.45,135.366909
34.462209,135.379391
34.525827,135.436372
34.548191,135.452609
34.565273,135.457927
34.629018,135.454818
34.691364,135.419236
34.718318,135.333591
34.715827,135.314972
34.684018,135.2233
34.663745,135.192536
34.652209,135.188563
34.641109,135.170254
34.635827,135.153318
34.616936,135.0636
34.6186,135.048854
34.634018,134.969127
34.663318,134.913027
34.681382,134.890536
34.692218,134.876891
34.756664,134.762482
34.763027,134.742582
34.772491,134.708591
34.777773,134.6747
34.7786,134.663882
34.777491,134.651091
34.754718,134.499691
34.719982,134.4133
34.700545,134.345791
34.698318,134.323163
