Malaysia,
緯度,經度
4.590536,114.095082
4.58,114.153318
4.577773,114.164991
4.5725,114.179982
4.566945,114.188309
4.531945,114.235809
4.521664,114.246091
4.4975,114.263891
4.433191,114.309009
4.34,114.329163
4.326945,114.329991
4.256391,114.399991
4.2,114.475536
4.055691,114.608454
4.030836,114.609427
4.021664,114.619491
4.018191,114.638036
4.022218,114.649991
4.029718,114.669982
4.05,114.705409
4.126945,114.793054
4.144582,114.806363
4.355273,114.866927
4.432636,114.859009
4.435627,114.843663
4.446391,114.834718
4.473891,114.829163
4.495836,114.825818
4.580836,114.815536
4.697364,114.788463
4.709164,114.779982
4.720836,114.777772
4.735836,114.779854
4.749582,114.787072
4.803609,114.852618
4.809718,114.866654
4.810273,114.879154
4.811109,114.904427
4.811664,114.917482
4.817218,114.945827
4.821945,114.9622
4.831664,114.979427
4.842918,114.989145
4.895791,115.018436
4.876391,115.0229
4.820209,115.029127
4.753336,115.020827
4.724445,115.020536
4.656664,115.026654
4.645836,115.029427
4.413336,115.090272
4.391391,115.096363
4.380554,115.102345
4.374164,115.1136
4.315554,115.320545
4.311664,115.339854
4.3175,115.352072
4.332636,115.360263
4.349309,115.356654
4.36,115.350809
4.368327,115.344709
4.396391,115.3179
4.410282,115.302754
4.426945,115.286372
4.438891,115.278054
4.451391,115.273182
4.541109,115.264427
4.564445,115.2686
4.573891,115.272772
4.582773,115.278318
4.598609,115.282491
4.611664,115.282491
4.683054,115.261382
4.805,115.223036
4.849164,115.1922
4.903236,115.145782
4.955,115.2079
4.958054,115.220536
4.925827,115.286372
4.9025,115.310672
4.893745,115.327827
4.899445,115.356936
4.903336,115.366654
4.911664,115.378863
4.925273,115.392491
4.988891,115.452209
4.999718,115.461927
5.022773,115.479709
5.041945,115.528872
5.053054,115.5461
5.068609,115.557745
5.078336,115.561918
5.089164,115.5647
5.126109,115.5686
5.179164,115.574154
5.2025,115.559145
5.198891,115.541927
5.200282,115.529709
5.208609,115.510536
5.220836,115.485118
5.309582,115.359709
5.323891,115.359709
5.3825,115.371227
5.400973,115.380254
5.5175,115.528318
5.520273,115.605818
5.519718,115.749709
5.520273,115.7625
5.525,115.792209
5.527773,115.803036
5.533891,115.817491
5.542218,115.829709
5.563891,115.848872
5.576391,115.857209
5.628891,115.886654
5.644864,115.895263
5.68,115.904427
5.716109,115.909145
5.738009,115.915045
5.7475,115.918872
5.758336,115.928463
5.77,115.944136
5.797782,115.991363
5.809445,116.014163
5.826109,116.038463
5.840836,116.051091
5.854718,116.055945
5.900282,116.053309
5.977773,116.090272
6.127773,116.109991
6.363336,116.3286
6.388609,116.358036
6.428891,116.414427
6.482773,116.491091
6.493473,116.500682
6.510554,116.507491
6.532364,116.502772
6.544309,116.507218
6.606391,116.5611
6.677364,116.626782
6.692218,116.639163
6.701109,116.643882
6.714445,116.647627
6.731109,116.648036
6.743327,116.646654
6.760282,116.642491
6.773336,116.643336
6.846664,116.656936
6.856391,116.6611
6.967782,116.715818
7.006664,116.745245
7.018054,116.754172
7.023127,116.766382
6.965136,116.832354
6.948745,116.839854
6.898054,116.851091
6.803336,116.859709
6.780554,116.858736
6.766391,116.855554
6.756945,116.851382
6.748054,116.846645
6.732082,116.8354
6.719445,116.820545
6.703054,116.809709
6.662218,116.789145
6.643336,116.780818
6.620836,116.776091
6.601109,116.776927
6.584236,116.7838
6.576664,116.799991
6.58,116.824154
6.586109,116.845263
6.590836,116.854154
6.596391,116.862491
6.741945,116.981654
6.825554,117.048027
6.843336,117.054427
6.870973,117.047909
6.885554,117.038591
6.895,117.034418
6.910836,117.029709
6.934864,117.031091
6.979445,117.0686
6.9875,117.077627
6.993054,117.089427
7.001527,117.145136
6.994445,117.168872
6.990273,117.178309
6.945136,117.249291
6.928336,117.253054
6.888336,117.252491
6.875273,117.251663
6.861664,117.244982
6.767782,117.253054
6.666391,117.277072
6.639864,117.288036
6.626245,117.301654
6.543891,117.453872
6.539445,117.466518
6.542773,117.4761
6.537773,117.558591
6.514718,117.648463
6.491391,117.676654
6.423336,117.724427
6.386945,117.739291
6.317218,117.734154
6.268891,117.728045
6.257009,117.722618
6.249309,117.709709
6.251664,117.688872
6.255282,117.671654
6.243609,117.642209
6.220209,117.612482
6.1925,117.6004
6.178054,117.601927
6.129164,117.634718
6.107364,117.653945
6.088891,117.662772
5.9975,117.675263
5.982364,117.674836
5.971664,117.667763
5.948609,117.643054
5.940273,117.629963
5.925273,117.590272
5.916391,117.564991
5.896109,117.503054
5.8975,117.550536
5.915,117.782209
5.947773,117.878036
5.952636,117.886927
6.009864,117.945936
6.041109,117.976091
6.056182,117.986645
6.061245,118.006863
6.035,118.036927
6.019445,118.0486
5.975,118.073318
5.864027,118.124691
5.853054,118.119136
5.815973,118.091382
5.810273,118.080272
5.803336,118.040545
5.809445,117.982209
5.813609,117.931372
5.810273,117.9211
5.797573,117.908172
5.755,117.917763
5.685073,117.955472
5.689445,118.125527
5.786945,118.156372
5.797918,118.161654
5.803891,118.176654
5.8275,118.258736
5.810273,118.362491
5.8075,118.3736
5.781664,118.4297
5.774718,118.443309
5.763054,118.466091
5.758336,118.474991
5.744718,118.495527
5.688891,118.579027
5.637782,118.648882
5.625,118.663
5.591391,118.6922
5.527218,118.785263
5.429718,118.934709
5.404445,119.056636
5.404445,119.070263
5.405836,119.082763
5.413336,119.102618
5.426109,119.116927
5.435691,119.131382
5.445273,119.178036
5.443327,119.1897
5.438609,119.198591
5.429718,119.210272
5.420418,119.221509
5.403609,119.238872
5.375136,119.261654
5.364164,119.267763
5.345,119.275818
5.223609,119.272491
5.205,119.263609
5.192773,119.255545
5.176391,119.244427
5.148609,119.223872
5.1375,119.214427
5.123891,119.193591
5.112218,119.1711
5.093891,119.128036
5.07,119.069718
5.057773,119.034145
5.048891,118.994982
5.046109,118.9772
5.035836,118.939418
5.027773,118.913309
4.992773,118.818327
4.977218,118.779163
4.965,118.748872
4.947773,118.710536
4.943054,118.701663
4.958609,118.549709
4.999027,118.446782
5.021664,118.424991
5.030554,118.413309
5.035836,118.394709
5.035836,118.354282
5.031664,118.341372
4.961809,118.207354
4.888336,118.140545
4.879445,118.135818
4.868609,118.133045
4.853609,118.132345
4.735554,118.230818
4.680836,118.282336
4.593336,118.417209
4.611391,118.429982
4.613191,118.440536
4.592782,118.485263
4.5649,118.486972
4.538445,118.467263
4.500573,118.509282
4.525473,118.544027
4.521245,118.594845
4.448609,118.643454
4.437636,118.644845
4.428191,118.640818
4.415136,118.629854
4.350973,118.549572
4.351527,118.538036
4.355,118.527763
4.355554,118.497482
4.348891,118.404427
4.307773,118.183591
4.290482,118.125
4.266945,118.073882
4.231945,118.013045
4.224164,117.995891
4.245973,117.905682
4.256245,117.8886
4.277218,117.873309
4.287218,117.863036
4.335273,117.775272
4.374718,117.693036
4.353609,117.629154
4.281809,117.652627
4.266945,117.651927
4.257918,117.647082
4.199718,117.601091
4.169818,117.592054
4.175273,117.528872
4.178891,117.497754
4.183609,117.475536
4.188609,117.452763
4.195836,117.439418
4.214718,117.424427
4.224718,117.420254
4.2425,117.410809
4.254582,117.401791
4.353891,117.251791
4.358336,117.239436
4.358745,117.2236
4.354445,117.211109
4.345973,117.202772
4.336245,117.191791
4.335554,117.176654
4.336945,117.043872
4.350827,116.936918
4.352218,116.924427
4.352218,116.910536
4.349309,116.889163
4.345273,116.876918
4.330418,116.839845
4.330754,116.688763
4.334718,116.641936
4.330836,116.5336
4.319309,116.527618
4.294027,116.465818
4.294582,116.454163
4.299445,116.441654
4.31,116.425809
4.357773,116.3147
4.355,116.153318
4.337218,116.140263
4.283609,116.074154
4.277918,116.0611
4.281109,116.047618
4.300764,116.030882
4.33,116.004154
4.339718,115.986645
4.343054,115.976091
4.368127,115.888036
4.361109,115.872482
4.3441,115.857545
4.321664,115.850536
4.244718,115.770263
4.239718,115.761382
4.180273,115.690809
4.167364,115.683309
4.1086,115.659709
4.097782,115.6611
4.078336,115.662491
3.854164,115.616382
3.741664,115.585272
3.708609,115.576927
3.666109,115.571382
3.612782,115.571382
3.594718,115.574154
3.585554,115.578872
3.539164,115.601927
3.457782,115.626082
3.434309,115.627682
3.420418,115.613872
3.424718,115.596936
3.427982,115.582972
3.417782,115.570827
3.389164,115.558872
3.373891,115.553309
3.333609,115.538882
3.318336,115.534145
3.301664,115.529982
3.21,115.511936
3.198336,115.509991
3.184027,115.513045
3.176109,115.528591
3.050282,115.498872
3.04,115.495527
3.0275,115.4872
2.991809,115.378036
2.987782,115.318318
2.997782,115.310254
3.006664,115.305545
3.016391,115.301372
3.010836,115.249709
2.922082,115.152072
2.906109,115.139709
2.851109,115.118318
2.613609,115.082363
2.600554,115.092063
2.597218,115.107618
2.605554,115.123172
2.611527,115.1336
2.605136,115.169436
2.596945,115.185254
2.583054,115.199145
2.529654,115.236091
2.508054,115.230818
2.492782,115.215682
2.487218,115.203872
2.483054,115.187482
2.4225,115.090818
2.360554,115.001663
2.293191,114.949145
2.285554,114.939418
2.282218,114.9297
2.276664,114.904291
2.279445,114.873027
2.260691,114.813727
2.248891,114.8047
2.216809,114.791509
2.165554,114.778591
2.150136,114.776382
2.064718,114.800536
2.043891,114.839154
2.047218,114.848872
2.046454,114.862618
2.020282,114.872482
2.007782,114.872482
1.915282,114.861927
1.900691,114.856509
1.891664,114.844709
1.863891,114.783336
1.770554,114.710818
1.6425,114.674427
1.452082,114.588872
1.440554,114.576518
1.432918,114.559982
1.432218,114.543591
1.435554,114.533336
1.448054,114.511382
1.463336,114.492336
1.4775,114.475682
1.491945,114.452472
1.496664,114.443591
1.504718,114.424427
1.507782,114.413309
1.509718,114.401654
1.508336,114.389427
1.47,114.290818
1.443609,114.231372
1.469991,114.0844
1.458891,114.0336
1.453609,114.004991
1.450836,113.9872
1.448609,113.9686
1.445282,113.930818
1.440836,113.921791
1.405973,113.888036
1.390554,113.876082
1.374164,113.865254
1.348609,113.842482
1.304718,113.790409
1.225836,113.659082
1.229445,113.642491
1.237782,113.629963
1.251391,113.616382
1.283609,113.586927
1.288336,113.4561
1.343891,113.374418
1.356245,113.359427
1.365282,113.340818
1.431664,113.126372
1.539791,113.057482
1.556945,113.038591
1.572782,112.999709
1.5775,112.976927
1.588054,112.884145
1.563054,112.680263
1.570554,112.499718
1.568054,112.472763
1.499445,112.309709
1.450136,112.201372
1.425282,112.184709
1.411391,112.181509
1.402782,112.191782
1.403191,112.209836
1.394164,112.214709
1.376109,112.2129
1.149791,112.1322
1.140554,112.110809
1.135554,112.074436
1.134164,112.055254
1.134164,112.041654
1.137782,111.983318
1.135,111.965554
1.132218,111.954709
1.127364,111.945682
1.075691,111.891236
1.055554,111.879963
1.041109,111.873872
1.020418,111.860118
1.0075,111.845836
0.998609,111.827209
0.995282,111.809982
0.993891,111.797763
1.006109,111.732754
1.011664,111.724427
1.024718,111.700272
1.033609,111.681927
1.038473,111.669572
1.036945,111.655254
1.029445,111.635272
1.000282,111.565127
1.008054,111.419436
1.008891,111.406372
1.011664,111.394709
1.044445,111.3111
1.067218,111.258327
1.069718,111.211927
1.062364,111.195245
1.024718,111.024145
1.021109,111.006945
1.02,110.994709
1.018609,110.941091
1.015136,110.906936
1.005554,110.885536
0.95,110.819563
0.934164,110.813027
0.9175,110.812609
0.908473,110.8079
0.878054,110.701927
0.856109,110.5986
0.852782,110.574436
0.853891,110.555254
0.856664,110.544436
0.865282,110.522063
0.902782,110.459991
1.001945,110.332491
1.176109,110.198863
1.185691,110.184554
1.187782,110.169436
1.187782,110.155818
1.189718,110.137209
1.195282,110.115536
1.201391,110.101091
1.211664,110.083882
1.22,110.071663
1.288645,109.996045
1.301882,109.985409
1.317218,109.979709
1.406945,109.931663
1.468609,109.824709
1.539164,109.739963
1.555554,109.721918
1.565836,109.711645
1.580282,109.698863
1.617009,109.668727
1.706391,109.667209
1.789164,109.615809
1.791109,109.603591
1.795282,109.593872
1.8025,109.583872
1.833609,109.563872
1.906945,109.547336
2.031664,109.630809
2.073409,109.648563
2.0575,109.651382
2.002782,109.655545
1.952218,109.649991
1.936391,109.651509
1.914445,109.660263
1.898054,109.671372
1.860691,109.699145
1.851391,109.7104
1.836945,109.7336
1.822782,109.760536
1.721945,109.899427
1.690482,109.928027
1.6823,109.981827
1.705554,110.253054
1.761664,110.298318
1.770554,110.303036
1.794027,110.317482
1.801527,110.330545
1.797364,110.342209
1.643336,110.4772
1.624164,110.479982
1.608336,110.527209
1.598054,110.564991
1.578891,110.635536
1.556945,110.702763
1.549445,110.722491
1.540136,110.733682
1.521527,110.740463
1.502082,110.734982
1.488336,110.7247
1.4775,110.715
1.465418,110.696091
1.450482,110.675809
1.444718,110.687482
1.445282,110.700545
1.448609,110.7247
1.452782,110.734154
1.461109,110.746645
1.479445,110.762209
1.493336,110.769145
1.505554,110.770536
1.519164,110.770536
1.537782,110.768336
1.554164,110.769018
1.562782,110.774291
1.569445,110.789836
1.568054,110.821927
1.5625,110.836927
1.517218,110.942463
1.496391,110.976518
1.483054,110.990536
1.455,111.017209
1.433054,111.036372
1.415,111.052754
1.405,111.063027
1.363891,111.155545
1.333054,111.319445
1.333054,111.333054
1.335554,111.350809
1.340554,111.366654
1.345973,111.378309
1.406945,111.301654
1.413054,111.2872
1.415836,111.2625
1.415836,111.241927
1.4125,111.2247
1.406945,111.209718
1.402782,111.200272
1.3959,111.188182
1.394582,111.172063
1.399445,111.159709
1.461945,111.0579
1.524164,111.024145
1.533336,111.012772
1.551391,111.0036
1.572082,111
1.587782,111.001391
1.649445,111.021927
1.666109,111.029154
1.674445,111.0415
1.682218,111.064418
1.938336,111.169436
1.948054,111.173309
2.021391,111.196091
2.066391,111.205554
2.114791,111.239563
2.123473,111.254991
2.120554,111.2747
2.1125,111.294145
2.105554,111.324854
2.107918,111.336236
2.119164,111.348872
2.146664,111.369982
2.158127,111.371927
2.163054,111.354982
2.151391,111.270827
2.141109,111.191936
2.145973,111.172754
2.262218,111.183036
2.365836,111.202763
2.398609,111.211109
2.413609,111.216663
2.4225,111.2254
2.429309,111.244709
2.387427,111.315672
2.339091,111.368109
2.356109,111.394145
2.368609,111.450272
2.392782,111.442472
2.413682,111.426845
2.480836,111.403054
2.578054,111.418054
2.6725,111.436654
2.683336,111.439418
2.694718,111.448454
2.746391,111.520263
2.834718,111.644145
2.842782,111.656372
2.847636,111.668872
2.86,111.740809
2.868891,111.793591
2.873054,111.823609
2.875,111.842209
2.879718,111.892209
2.880136,111.950254
2.8825,111.965
2.905282,112.093045
2.909164,112.109418
2.938054,112.217754
2.953054,112.264427
3.014718,112.517209
3.044164,112.647491
3.049445,112.676372
3.052218,112.687191
3.100836,112.8647
3.122218,112.932482
3.128891,112.953045
3.135,112.967482
3.141945,112.981091
3.152218,112.998318
3.160554,113.010536
3.176109,113.029163
3.190554,113.042209
3.206109,113.053863
3.221945,113.065536
3.238336,113.076391
3.252782,113.082491
3.486109,113.274991
3.5175,113.298318
3.643336,113.388318
3.655554,113.396382
3.691945,113.414991
3.808054,113.517763
3.833054,113.550118
3.9325,113.669709
3.996945,113.735527
4.044718,113.776654
4.244164,113.926091
4.256664,113.934418
4.274445,113.943863
4.321391,113.964427
4.423336,113.990536
4.439718,113.994709
4.453336,113.994709
4.4725,113.993318
4.484718,113.991927
4.495836,113.989154
4.511391,113.984418
4.536109,113.974154
4.555273,113.965818
4.569582,113.963045
4.5825,113.967209
4.591945,113.974845
4.5975,113.986363
4.599445,113.998027
4.598891,114.011109
4.595554,114.066672
